################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         58  -1.5169583147699032E-17   1.4730197116548601E+01   1.0186818366361263E-02   2.8147009138229967E-01
         1         59   0.0000000000000000E+00   5.5063536445610062E+00   1.0749296660232127E-01   3.0102953266475352E-01
         1         60  -6.3924748625374331E-17   6.7006313541035007E+00   7.6418538479361942E-01   9.2661026263673685E-01
         1         61   0.0000000000000000E+00   1.2866783951176409E+01   4.7442781993715311E-01   1.0814780975739124E+00
         1         62   0.0000000000000000E+00   1.8542325284335244E+00   9.3415893349663576E-03   5.2042212517081694E-02
         1         63   0.0000000000000000E+00   3.5415142378009401E+00   1.6928534495981423E-01   3.3234236250597671E-01
         1         64  -2.0014451521363553E-20   4.9546680394003637E+00   4.0696913717143306E-03   9.1267508454485696E-02
         1         65   0.0000000000000000E+00   2.2037617958350828E+00   2.8569031593237860E-02   9.2603672186262226E-02
         1         66  -1.2893170348762760E-22   2.5961565123250603E+00   2.8747534663969365E-01   3.8948039217094754E-01
         1         67   0.0000000000000000E+00   9.4902955473985440E+00   3.1400696498761044E-01   7.5132986843140870E-01
         1         68   0.0000000000000000E+00   1.6008405206464271E+00   1.1402504958653704E-02   9.9668632890343486E-02
         1         69   0.0000000000000000E+00   2.7216473781693669E+00   1.0734999304206450E-01   1.7345939748235725E-01
         1         70  -4.5581972646093984E-18   2.6716687359317626E+00   1.5107165708921710E-03   5.0734890783219105E-02
         1         71   0.0000000000000000E+00   1.3743616478745355E+00   2.5732046346319676E-02   6.8016246844272918E-02
         1         72  -3.5648451226891952E-17   7.7442011203572358E-01   5.2694856378287337E-02   6.6700099003154170E-02
         1         73   0.0000000000000000E+00   2.0436357370789203E+01   5.7965117384885834E-01   1.3618516281378954E+00
         1         74   0.0000000000000000E+00   2.5474692650230271E+00   1.0638996579931673E-02   6.4538557240623490E-02
         1         75   0.0000000000000000E+00   4.3301259712095233E+00   1.9610076345955010E-01   3.9345068426841878E-01
         1         76  -2.8351800212338374E-19   7.9283994063248819E+00   4.6808140608665437E-03   1.4698260077273886E-01
         1         77   0.0000000000000000E+00   2.5982914129000130E+00   3.1234713061556091E-02   1.0537782000284789E-01
         1         78  -6.0412278585391851E-19   3.9650180786108353E+00   4.3486673698208095E-01   5.5655250322101735E-01
         1         79   0.0000000000000000E+00   1.8858458168185273E+01   4.6604541536383021E-01   1.1581295948845813E+00
         1         80   0.0000000000000000E+00   2.3363327782547745E+00   1.4181695892647062E-02   1.0614372715360926E-01
         1         81   0.0000000000000000E+00   3.8872026592910123E+00   1.6944833682088742E-01   3.1081445640412136E-01
         1         82  -9.1368973062496179E-19   6.4184635969459229E+00   3.4460344384313374E-03   1.1883922903391726E-01
         1         83   0.0000000000000000E+00   2.2210798374286571E+00   3.2347507244255801E-02   9.8737249178532896E-02
         1         84  -4.8760936796407295E-18   2.9039702615343703E+00   2.8674032702695290E-01   3.5310225242974352E-01
         1         85   0.0000000000000000E+00   6.1765159760387700E+00   1.7962556069843713E-01   4.1504909548950730E-01
         1         86   0.0000000000000000E+00   1.0836701904499735E+00   2.9815897118013711E-03   2.2932268126930017E-02
         1         87   0.0000000000000000E+00   1.6200201887125685E+00   6.0318571194835906E-02   1.3163807054402307E-01
         1         88  -1.2238970342460358E-21   2.2617915154961543E+00   1.3281716215435655E-03   3.8630146889340307E-02
         1         89   0.0000000000000000E+00   1.1570018141843101E+00   8.8506522659912070E-03   3.2549827715854546E-02
         1         90  -9.8347365926407976E-24   1.1653038057056486E+00   1.1003134657705073E-01   1.5403612502832184E-01
         1         91   0.0000000000000000E+00   4.5532844588999053E+00   1.0084327653071953E-01   2.5823547360471494E-01
         1         92   0.0000000000000000E+00   9.7377059235513086E-01   5.3902247054060269E-03   5.5459478827802174E-02
         1         93   0.0000000000000000E+00   1.1343051815982583E+00   3.5323835982970481E-02   6.1556317899695970E-02
         1         94  -2.7454795496263364E-19   1.0902965746809090E+00   5.2963501385098013E-04   2.0120380419643192E-02
         1         95   0.0000000000000000E+00   5.6419221276840636E-01   7.3005940060133483E-03   2.0291871732009262E-02
         1         96  -2.7192158194491576E-18   2.6177205872414822E-01   1.5545888005234161E-02   1.9915261868524155E-02
         1         97   0.0000000000000000E+00   4.3104755287172418E+00   7.4409617852062571E-02   1.8890996811228952E-01
         1         98   0.0000000000000000E+00   6.1419423720283783E-01   1.0752600784717712E-03   1.0621898374714429E-02
         1         99   0.0000000000000000E+00   8.6414992552704029E-01   1.8845979231773367E-02   4.7513092187575143E-02
         1        100  -2.2447162826972803E-22   1.3282260370403900E+00   5.4573784186031878E-04   2.2348388496547449E-02
         1        101   0.0000000000000000E+00   8.2701522885277856E-01   2.2647575954667402E-03   1.2885467930101291E-02
         1        102  -8.4148043807400073E-22   7.3961031881519701E-01   5.1000309787073046E-02   7.1295447535636949E-02
         1        103   0.0000000000000000E+00   4.0294256806788225E+00   4.8532922424961655E-02   1.3555875134295053E-01
         1        104   0.0000000000000000E+00   6.8319019123230817E-01   2.2475016786818970E-03   2.3642864315444226E-02
         1        105   0.0000000000000000E+00   8.5205323141460454E-01   1.6126806756108218E-02   3.8093966260391895E-02
         1        106  -6.9594351361501729E-22   1.0223181604824156E+00   4.0486730125143742E-04   1.7378164032375281E-02
         1        107   0.0000000000000000E+00   3.5667456003700521E-01   2.1446961747763251E-03   9.9679413834921644E-03
         1        108  -6.7918932073290762E-21   4.3128749858311033E-01   3.0132808283316562E-02   3.9521144582094769E-02
         1        109   0.0000000000000000E+00   1.5822967195182798E+00   2.5784875496112348E-02   6.7935125737056234E-02
         1        110   0.0000000000000000E+00   3.4402964882796971E-01   2.9781540876083122E-04   4.1694424495454822E-03
         1        111   0.0000000000000000E+00   3.5620795280277240E-01   5.8846056130783114E-03   1.6716950010416440E-02
         1        112  -9.6900428916023227E-25   4.1431075592305022E-01   1.4791691107246177E-04   5.6868972956769124E-03
         1        113   0.0000000000000000E+00   4.4428150566810592E-01   6.4242813055413305E-04   4.2287067681401171E-03
         1        114  -1.3698768942509181E-26   2.9633685802761611E-01   1.2255441832305008E-02   1.9243994266804860E-02
         1        115   0.0000000000000000E+00   8.8303805376309441E-01   8.6205314871231047E-03   2.7279741204459137E-02
         1        116   0.0000000000000000E+00   3.4698274632354081E-01   1.0932667058912190E-03   1.3029221238456810E-02
         1        117   0.0000000000000000E+00   1.6429453756432913E-01   2.9205796298134553E-03   6.4940315842697983E-03
         1        118  -2.0911898429877438E-22   1.5888415587053889E-01   6.2851921220902077E-05   2.7192267755088129E-03
         1        119   0.0000000000000000E+00   9.5604580110007137E-02   3.8633158557442728E-04   1.3629781088304359E-03
         1        120  -3.7875858559672442E-21   5.9424265854059841E-02   9.9318709491118436E-04   1.3380877700809749E-03
         1        121   0.0000000000000000E+00   1.4860805157866410E+00   1.2909330297218713E-02   3.9872462669433402E-02
         1        122   0.0000000000000000E+00   2.1697363835077510E-01   1.5605174356174870E-04   2.1336678803345085E-03
         1        123   0.0000000000000000E+00   2.6245021732497259E-01   2.1157419802927116E-03   7.0751380435716037E-03
         1        124  -8.8377674799393449E-26   2.4239984384305804E-01   7.7497067614593944E-05   3.3501690102278260E-03
         1        125   0.0000000000000000E+00   3.0062404432222323E-01   2.2805949089681817E-04   2.4672149186094924E-03
         1        126  -6.1597570780059720E-25   1.6088919571947474E-01   5.9172240026138436E-03   9.5184154284885334E-03
         1        127   0.0000000000000000E+00   1.2955325467110490E+00   6.8605493706116747E-03   2.4065335562029316E-02
         1        128   0.0000000000000000E+00   2.3198519145068550E-01   4.2387227532483487E-04   5.0908289789967382E-03
         1        129   0.0000000000000000E+00   2.4229972299597172E-01   1.8769082003778101E-03   6.2928947081236980E-03
         1        130  -2.6260652536186164E-25   1.7212655207929695E-01   5.7521038632138226E-05   2.5759952188196943E-03
         1        131   0.0000000000000000E+00   1.0570361202971119E-01   1.8489417893257805E-04   1.5549711475378919E-03
         1        132  -4.9717629030880477E-24   8.4972665741081685E-02   3.1911901194996263E-03   4.6652221157614760E-03
         1        133   0.0000000000000000E+00   1.0076522431358850E+00   4.9645385457675476E-03   1.8047485524115680E-02
         1        134   0.0000000000000000E+00   1.2884452520115913E-01   4.1863853165096210E-05   9.0606167248489795E-04
         1        135   0.0000000000000000E+00   1.2746033660365860E-01   6.3079496892407753E-04   2.4793894917718301E-03
         1        136  -3.8151077981096251E-28   7.9029534776890398E-02   2.0497490354580739E-05   8.4448336044431224E-04
